,Case.ID,CD3D,CD3E,CD3G
0,TCGA-HT-A4DV,-0.8117,0.2641,-1.3337
1,TCGA-HT-7688,-0.8014,-0.4435,-0.4817
2,TCGA-HT-7472,0.7501,0.6183,1.1398
3,TCGA-DB-A4X9,-1.3682,-0.9877,-1.3337
4,TCGA-HT-7472,0.7501,0.6183,1.1398
5,TCGA-HT-7467,0.2919,-0.5086,-0.6677
6,TCGA-HT-7620,-1.3682,-0.6383,-0.7314
7,TCGA-HT-7620,-1.3682,-0.6383,-0.7314
8,TCGA-HT-7874,-1.3682,-0.9203,-1.3337
9,TCGA-E1-A7YI,-0.5701,-0.3923,-0.134
10,TCGA-DB-5274,1.8065,1.2568,-1.3337
11,TCGA-S9-A6U5,1.5627,1.7998,0.6227
12,TCGA-HT-7677,-0.0762,-0.1056,0.6083
13,TCGA-HT-7470,-0.7294,-0.9451,-0.1579
14,TCGA-DU-8166,-0.4685,-0.6173,-1.3337
15,TCGA-E1-A7YO,-1.3682,-0.782,-0.8336
16,TCGA-VV-A829,-0.6114,-0.3908,-1.3337
17,TCGA-DU-8164,-1.1353,-1.3035,-1.3337
18,TCGA-HT-7688,-0.8014,-0.4435,-0.4817
19,TCGA-DB-5273,0.1031,0.1015,-1.3337
20,TCGA-FG-A6J3,2.651,1.9805,-0.7259
21,TCGA-HT-7607,-0.8807,-0.4251,0.2394
22,TCGA-VM-A8CF,-0.4966,0.2196,-1.3337
23,TCGA-HT-7480,-1.1184,-1.3906,-0.6612
24,TCGA-HT-7467,0.2919,-0.5086,-0.6677
25,TCGA-DB-5278,-0.4821,-0.2109,-0.6473
26,TCGA-HT-7620,-1.3682,-0.6383,-0.7314
27,TCGA-QH-A6X4,-1.3682,-1.4539,-1.3337
28,TCGA-FG-6691,-0.8657,-1.4862,-1.3337
29,TCGA-HT-7677,-0.0762,-0.1056,0.6083
30,TCGA-DB-A4XD,-1.3682,-0.9093,-0.7777
31,TCGA-DU-8168,-0.6336,-1.2813,-1.3337
32,TCGA-HT-7607,-0.8807,-0.4251,0.2394
33,TCGA-IK-8125,-0.2786,-0.1501,-0.4009
34,TCGA-VM-A8CF,-0.4966,0.2196,-1.3337
35,TCGA-E1-A7YN,2.8085,2.874,3.2581
36,TCGA-HT-7608,-1.3682,-1.2716,-0.8557
37,TCGA-S9-A6WQ,-0.4365,0.1684,-0.1756
38,TCGA-HT-7689,-1.3682,-1.3416,-1.3337
39,TCGA-VM-A8C9,2.9269,2.3492,-0.6325
40,TCGA-S9-A7R3,-0.1943,-0.2049,-0.3601
41,TCGA-R8-A6MO,-0.198,0.6789,-0.4087
42,TCGA-DB-A4XA,0.0158,0.7706,-0.708
43,TCGA-DU-5852,1.0028,0.7796,0.6947
44,TCGA-DU-A6S3,-1.3682,-0.1909,-0.7562
45,TCGA-R8-A6MO,-0.198,0.6789,-0.4087
46,TCGA-HT-7607,-0.8807,-0.4251,0.2394
47,TCGA-HT-7693,0.4629,0.7241,-0.0417
48,TCGA-HT-7610,-1.1409,-0.8965,-0.486
49,TCGA-HT-7882,2.6264,2.5035,3.4362
50,TCGA-DU-7309,-1.3682,-0.3242,-0.6232
51,TCGA-VM-A8CD,-0.2096,0.4438,-0.5906
52,TCGA-HT-7877,-1.3682,-0.0865,-0.0002
53,TCGA-VM-A8CD,-0.2096,0.4438,-0.5906
54,TCGA-S9-A7IS,0.2076,-0.0424,-0.6544
55,TCGA-DU-5854,0.8918,1.4017,1.2902
56,TCGA-WY-A85D,-1.3682,-1.3562,-1.3337
57,TCGA-TM-A7CF,-0.952,-0.9555,-1.3337
58,TCGA-HT-7620,-1.3682,-0.6383,-0.7314
59,TCGA-HT-7482,-0.4935,-1.0402,-1.3337
60,TCGA-VM-A8CE,-1.3682,-0.7297,-0.4967
61,TCGA-S9-A6WP,0.5095,0.6628,-0.9086
62,TCGA-FG-A6J3,2.651,1.9805,-0.7259
63,TCGA-TM-A7C5,-0.0836,0.2918,0.0957
64,TCGA-DB-A75L,-1.0503,-1.9298,-1.3337
65,TCGA-HT-7468,-0.0808,0.5598,0.4787
66,TCGA-HT-7690,1.4104,1.4899,0.4673
67,TCGA-HW-7493,0.1524,0.7965,0.8333
68,TCGA-DB-A4XG,-1.3682,-1.9298,-1.3337
69,TCGA-HT-7677,-0.0762,-0.1056,0.6083
70,TCGA-HT-7694,-1.099,-0.9312,-0.6143
71,TCGA-DU-8162,-0.8794,-0.2936,-0.3376
72,TCGA-S9-A89V,0.0747,0.4163,-0.4989
73,TCGA-TQ-A7RS,-1.3682,-1.9298,-1.3337
74,TCGA-S9-A6U1,-0.8132,-0.5226,-1.3337
75,TCGA-DB-5279,1.0194,1.2052,0.8376
76,TCGA-DU-5853,0.9978,1.7832,1.9774
77,TCGA-DB-5276,0.7265,1.1186,0.485
78,TCGA-DH-A66G,0.6942,0.7286,0.1009
79,TCGA-HW-8320,-0.6886,-0.9842,-0.9067
80,TCGA-FG-7634,0.0169,0.8864,0.534
81,TCGA-R8-A6MK,-1.3682,-1.9298,-1.3337
82,TCGA-W9-A837,-1.3682,-1.4701,-1.3337
83,TCGA-HT-7482,-0.4935,-1.0402,-1.3337
84,TCGA-HT-7694,-1.099,-0.9312,-0.6143
85,TCGA-HT-7677,-0.0762,-0.1056,0.6083
86,TCGA-CS-6186,-1.3682,-0.4386,-1.3337
87,TCGA-HT-7688,-0.8014,-0.4435,-0.4817
88,TCGA-DU-7301,-0.5441,-0.2353,-0.3184
89,TCGA-HT-7689,-1.3682,-1.3416,-1.3337
90,TCGA-HT-7475,-0.4453,0.2484,-1.3337
91,TCGA-HT-A614,-1.3682,-0.321,-0.7684
92,TCGA-HT-7475,-0.4453,0.2484,-1.3337
93,TCGA-R8-A6MO,-0.198,0.6789,-0.4087
94,TCGA-HT-7693,0.4629,0.7241,-0.0417
95,TCGA-HT-7482,-0.4935,-1.0402,-1.3337
96,TCGA-HT-7694,-1.099,-0.9312,-0.6143
97,TCGA-FG-A60K,-1.0339,-0.0508,-0.4606
98,TCGA-DB-A4XA,0.0158,0.7706,-0.708
99,TCGA-HT-7877,-1.3682,-0.0865,-0.0002
100,TCGA-FG-6689,-0.721,-0.0195,-0.9311
101,TCGA-S9-A7R8,-1.3682,-0.9903,-1.3337
102,TCGA-HT-7687,1.0118,0.7993,0.4421
103,TCGA-HT-7608,-1.3682,-1.2716,-0.8557
104,TCGA-HW-8319,-1.3682,-1.04,-0.9423
105,TCGA-DU-7300,0.7738,1.0901,0.223
106,TCGA-S9-A6TZ,0.235,0.6978,0.3298
107,TCGA-HT-7881,-0.5574,-0.3758,-0.1149
108,TCGA-R8-A6MK,-1.3682,-1.9298,-1.3337
109,TCGA-S9-A6UB,-1.3682,-1.4052,-1.3337
110,TCGA-FG-A4MT,-1.3682,-1.9298,-1.3337
111,TCGA-DH-A66D,-0.1293,0.2116,-1.3337
112,TCGA-FG-A713,-1.3682,-0.9691,-0.8235
113,TCGA-R8-A6ML,-0.0617,0.132,-0.5425
114,TCGA-HT-7884,-0.8453,-1.3072,-0.2737
115,TCGA-DH-5140,0.6529,0.8524,0.7223
116,TCGA-S9-A6WL,-0.3922,-1.3925,-1.3337
117,TCGA-HT-7855,-1.3682,-0.9741,-1.3337
118,TCGA-HT-7482,-0.4935,-1.0402,-1.3337
119,TCGA-S9-A7QY,-0.5973,-0.9853,-1.3337
120,TCGA-QH-A6CU,-0.9493,-0.2889,-1.3337
121,TCGA-DB-5277,-1.0834,-0.3072,-0.5769
122,TCGA-HT-7684,-1.3682,-0.5875,-1.3337
123,TCGA-WY-A85C,-1.0438,-0.0408,-0.846
124,TCGA-S9-A7IZ,-0.1533,-0.1964,-1.3337
125,TCGA-HT-7483,-1.3682,-0.2434,-0.2869
126,TCGA-TM-A84Q,0.2491,0.4877,-0.0935
127,TCGA-HT-7483,-1.3682,-0.2434,-0.2869
128,TCGA-VM-A8CA,-0.95,0.2624,-0.7051
